Category_ID,Category_Name,Video_Title,Channel_Title,View_Count,Like_Count,Comment_Count,Published_At,Thumbnail_URL,Video_ID
20,Gaming,챌린저스 서버에서 이거 절대 하지 마세요,글자네,118203,605,81,2025-12-25T09:15:17Z,https://i.ytimg.com/vi/ss8I0cxR9yY/maxresdefault.jpg,ss8I0cxR9yY
23,Comedy,광수 농담 정색하는 황정민,유느님,8859769,198132,3040,2025-12-21T02:30:46Z,https://i.ytimg.com/vi/jfiuCOnhAdA/maxresdefault.jpg,jfiuCOnhAdA
23,Comedy,말은 이렇게 해도 정은 넘쳐~,대환영,6722662,118688,1544,2025-12-19T09:00:37Z,https://i.ytimg.com/vi/L6wJ4-FWnAY/maxresdefault.jpg,L6wJ4-FWnAY
23,Comedy,[극한84] 우문현답 #극한84 #기안84 #마라톤,픽잇 :Pick it,2719999,77445,716,2025-12-23T09:01:20Z,https://i.ytimg.com/vi/pZizd5GTvRc/maxresdefault.jpg,pZizd5GTvRc
23,Comedy,황정민에게 유행어 부탁하면 생기는 일,최고의장면1분,2331165,41030,77,2025-12-22T23:10:00Z,https://i.ytimg.com/vi/bNMuK-7vxn8/maxresdefault.jpg,bNMuK-7vxn8
23,Comedy,옛날에 유명한 PD였대,esports KBS,3354955,60412,512,2025-12-21T13:01:05Z,https://i.ytimg.com/vi/VnlLU7KVJms/maxresdefault.jpg,VnlLU7KVJms
23,Comedy,선생님 무시하는 여자에게 할머니가 당장오라는데 #각종유머 #사이다썰 #웃긴썰 #시니어 #드라마 #쇼츠 #반전사연,웃음하이,2072369,91981,492,2025-12-22T10:15:00Z,https://i.ytimg.com/vi/9ZITN7VdPOs/maxresdefault.jpg,9ZITN7VdPOs
23,Comedy,촬영 중에 박정민이 방구 뀌자 이병헌 반응ㅋㅋㅋ #아는형님,예능레전드,1497014,16713,76,2025-12-24T08:00:35Z,https://i.ytimg.com/vi/Pf0U9uCPVmA/maxresdefault.jpg,Pf0U9uCPVmA
23,Comedy,신동엽이 형인데 이름을 부르기는 좀,iamenternews,1612825,9435,318,2025-12-24T08:00:18Z,https://i.ytimg.com/vi/Efus3u2WqGw/maxresdefault.jpg,Efus3u2WqGw
23,Comedy,#Shenyang Nanfeng Grand Theatre#Laugh every time you watch it#If I don t laugh after watch,Vikuwa Shisaqu,17320240,155627,3467,2025-12-09T23:50:30Z,https://i.ytimg.com/vi/d_ScVrX_ulI/maxresdefault.jpg,d_ScVrX_ulI
23,Comedy,방탈출보다 스케일이 커진 10년뒤 섬탈출 근황,코믹크림,2736039,53965,260,2025-12-22T05:46:28Z,https://i.ytimg.com/vi/21cqgPKdZgo/maxresdefault.jpg,21cqgPKdZgo
23,Comedy,동심 지켜주려는 친구의 의리,재밌숏,2242090,92490,861,2025-12-22T08:30:05Z,https://i.ytimg.com/vi/5cflY6e-O4Y/maxresdefault.jpg,5cflY6e-O4Y
23,Comedy,전종서의 돌발행동에 당황한 이수근 #shorts,빵공장,3289767,61890,3076,2025-12-21T01:15:04Z,https://i.ytimg.com/vi/iPujPvRm6FM/maxresdefault.jpg,iPujPvRm6FM
23,Comedy,제가 차를 태워줬다고요? #김제동,진짜대한민국,1805750,23511,122,2025-12-22T10:30:16Z,https://i.ytimg.com/vi/R-NA7SqhcRU/maxresdefault.jpg,R-NA7SqhcRU
23,Comedy,요즘 한국 개그맨들에게 보기힘든 참신한 몸개그 ㅋㅋㅋㅋ,꿀잼줍줍,5394582,78286,900,2025-12-18T08:04:21Z,https://i.ytimg.com/vi/P27vtzA4hGE/maxresdefault.jpg,P27vtzA4hGE
23,Comedy,이수지가 윤남노를 애타게 부른 이유 ㅋㅋ #shorts #냉장고를부탁해 #윤남노 #이수지,예능초이스,1888245,54219,765,2025-12-22T12:00:20Z,https://i.ytimg.com/vi/B4K-rmGTxFc/maxresdefault.jpg,B4K-rmGTxFc
23,Comedy,이혼녀와 결혼하겠다는 윤택에게 아버지가 건넨 충격적인 한마디,꽃보다좋아,1886074,49159,62,2025-12-22T10:01:35Z,https://i.ytimg.com/vi/tmh5c4t7g9k/maxresdefault.jpg,tmh5c4t7g9k
